bodyPart,equipment,gifUrl,id,name,target
waist,body weight,https://img.livestrong.com/-/ppds/1d878326-f44c-469a-979b-7669ee1b57d1.gif,0001,3/4 sit-up,abs
waist,body weight,https://fitnessprogramer.com/wp-content/uploads/2021/05/Bench-Side-Bend.gif,0002,45° side bend,abs
waist,body weight,https://homeworkouts.org/wp-content/uploads/anim-air-bike-crunches.gif,0003,air bike,abs
upper legs,body weight,https://cdn.jefit.com/assets/img/exercises/gifs/464.gif,1512,all fours squad stretch,quads
back,cable,https://i0.wp.com/post.healthline.com/wp-content/uploads/2022/02/400x400_How_To_Do_The_Lat_Pull_Down_Lat_Pull_Down.gif?h=840,0007,alternate lateral pulldown,lats
lower legs,body weight,https://cdn.jefit.com/assets/img/exercises/gifs/289.gif,1368,ankle circles,calves
back,body weight,https://www.garagegymreviews.com/wp-content/uploads/archer-pull-up.gif,3293,archer pull up,lats
chest,body weight,https://hips.hearstapps.com/hmg-prod/images/workouts/2016/03/archerpushup-1457045156.gif,3294,archer push up,pectorals
waist,body weight,https://fitnessprogramer.com/wp-content/uploads/2021/02/Hanging-Knee-Raises.gif,2355,arm slingers hanging bent knee legs,abs
waist,body weight,https://static.voltrx.com/2023/12/1.gif,2333,arm slingers hanging straight legs,abs
upper legs,body weight,https://gymvisual.com/img/p/1/2/9/3/8/12938.gif,3214,arms apart circular toe touch (male),glutes
waist,body weight,https://img.livestrong.com/-/ppds/1d878326-f44c-469a-979b-7669ee1b57d1.gif,3204,arms overhead full sit-up (male),abs
chest,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0009.gif,0009,assisted chest dip (kneeling),pectorals
waist,assisted,https://fitnessprogramer.com/wp-content/uploads/2021/02/Hanging-Knee-Raises.gif,0011,assisted hanging knee raise,abs
waist,assisted,https://fitnessprogramer.com/wp-content/uploads/2021/10/weighted-hanging-knee-raises.gif,0010,assisted hanging knee raise with throw down,abs
upper legs,assisted,https://cdn.jefit.com/assets/img/exercises/gifs/384.gif,1709,assisted lying glutes stretch,glutes
upper legs,assisted,https://www.vissco.com/wp-content/uploads/animation/sub/supine-piriformis-stretch.gif,1710,assisted lying gluteus and piriformis stretch,glutes
